dataset,hvg,contrast,n_conditions,n_complete_3seed,min_common_seeds,median_common_seeds,mean_delta_r,median_delta_r,ci95_low,ci95_high,paired_cohens_d,t_stat,t_p,wilcoxon_stat,wilcoxon_p,fraction_positive,wilcoxon_bh_primary_family
replogle_rpe1,500,gene_ontology - no_graph,50,0,1,1.0,0.0009142583981156349,0.0021907631307840347,-0.0024975415486842394,0.004437160500325255,0.07159514616563133,0.5062541335375995,0.6149485739103848,635.0,0.9847343420165711,0.54,0.9847343420165712
replogle_rpe1,500,random - no_graph,50,0,2,2.0,-0.0029875391349196436,0.0026609133929014206,-0.018638580505736174,0.008157970608212052,-0.05982187768077722,-0.4230045537138975,0.6741427079463249,629.0,0.9389922173111831,0.54,
replogle_rpe1,500,combined - random,50,50,3,3.0,0.0011304485052824017,0.000786644717057546,-0.006395728497455518,0.010246005176256087,0.037069576093770325,0.2621214863161572,0.7943266137509889,587.0,0.6321732707310517,0.52,
replogle_rpe1,500,string_ppi - random,50,50,3,3.0,0.004226714471975962,0.0016915475328763327,-0.0024180524675175546,0.01384182059609641,0.13941465257829225,0.9858104623487702,0.3290690668135832,502.0,0.19427670053532076,0.56,
replogle_rpe1,500,gene_ontology - random,50,0,2,2.0,-0.00044040005654096605,0.0005357898771762848,-0.002908920105546713,0.0018603853899985528,-0.050389867735459226,-0.3563101717883643,0.7231379633442444,598.0,0.7089524432753507,0.52,
replogle_rpe1,1000,combined - no_graph,50,0,2,2.0,0.0019745157007128,0.002564195543527603,-0.001864076136611402,0.005833472322439767,0.1417830021442261,1.0025572227316908,0.3209999474408122,569.0,0.5148085516941183,0.58,0.907510621959727
replogle_rpe1,1000,string_ppi - no_graph,50,0,2,2.0,0.002147601470351219,0.0029916614294052124,-0.0021456407748628404,0.006399167939554888,0.13817462939013592,0.9770421742970313,0.33334750842586763,544.0,0.3724861917482851,0.56,0.7449723834965702
replogle_rpe1,1000,gene_ontology - no_graph,50,0,2,2.0,0.0016144842375069857,0.0024149008095264435,-0.0023164326010737565,0.005552186185494065,0.11293645008428649,0.7985812969773501,0.4283869885562243,586.0,0.6253677971440439,0.52,0.907510621959727
replogle_rpe1,1000,random - no_graph,50,0,2,2.0,0.002124924352392554,0.002840501256287098,-0.002505985954310745,0.0067448485328350126,0.12682569351024153,0.8967930790977848,0.37421436383374407,541.0,0.35718707191412413,0.56,
replogle_rpe1,1000,combined - random,50,50,3,3.0,-0.000884538305302461,0.00027951101462046307,-0.0035330722760409106,0.000878421531679729,-0.10815900015596867,-0.7647996245664231,0.44805868499115586,607.0,0.7740531775538848,0.54,
replogle_rpe1,1000,string_ppi - random,50,50,3,3.0,-0.00030968337630232176,7.164975007375081e-05,-0.0012324552034648757,0.000583529776583113,-0.09283963627042087,-0.6564753636970715,0.5145896147936384,611.0,0.8035269768960163,0.52,
replogle_rpe1,1000,gene_ontology - random,50,50,3,3.0,-0.0011776632691423102,0.00018602609634399414,-0.003931712652246158,0.0005936521887779236,-0.13535266837749468,-0.9570878966142045,0.34322141913237736,620.0,0.8707939059443142,0.52,
