condition,pearson_r_left,pearson_r_right,delta_r,n_common_seeds,dataset,hvg,contrast
YIPF5_pDS186,0.5649269819259644,0.5449815094470978,0.019945472478866577,2,adamson,200,combined - no_graph
AMIGO3_pDS434,0.42158806324005127,0.4030520021915436,0.01853606104850769,1,adamson,200,gene_ontology - no_graph
ARHGAP22_pDS458,0.2773257791996002,0.30583107471466064,-0.028505295515060425,1,adamson,200,gene_ontology - no_graph
ASCC3_pDS052,0.1933889091014862,0.1454528123140335,0.0479360967874527,1,adamson,200,gene_ontology - no_graph
ATP5B_pDS055,0.6760940551757812,0.6399964094161987,0.03609764575958252,1,adamson,200,gene_ontology - no_graph
CAD_pDS468,-0.09589084982872009,-0.09026937186717987,-0.005621477961540222,1,adamson,200,gene_ontology - no_graph
CARS_pDS460,0.8522002100944519,0.8379396200180054,0.014260590076446533,1,adamson,200,gene_ontology - no_graph
CCND3_pDS006,-0.12482048571109772,-0.0755363255739212,-0.049284160137176514,1,adamson,200,gene_ontology - no_graph
DAD1_pDS499,0.45464080572128296,0.44930630922317505,0.00533449649810791,1,adamson,200,gene_ontology - no_graph
DARS_pDS495,0.7450305223464966,0.7153292894363403,0.02970123291015625,1,adamson,200,gene_ontology - no_graph
DDRGK1_pDS041,0.5696054100990295,0.5639697313308716,0.005635678768157959,1,adamson,200,gene_ontology - no_graph
DERL2_pDS042,0.5719417333602905,0.6085204482078552,-0.0365787148475647,1,adamson,200,gene_ontology - no_graph
DNAJC19_pDS026,0.900603175163269,0.8755335211753845,0.02506965398788452,1,adamson,200,gene_ontology - no_graph
EIF2AK3_pBA572,0.5257601737976074,0.5439001321792603,-0.018139958381652832,1,adamson,200,gene_ontology - no_graph
EIF2B4_pDS491,0.8478484153747559,0.8344942331314087,0.013354182243347168,1,adamson,200,gene_ontology - no_graph
GMPPB_pDS391,0.2278180867433548,0.19505271315574646,0.03276537358760834,1,adamson,200,gene_ontology - no_graph
GNPNAT1_pDS506,-0.1378023326396942,-0.15782412886619568,0.020021796226501465,1,adamson,200,gene_ontology - no_graph
Gal4-4(mod)_pBA582,0.44337642192840576,0.4876609146595001,-0.04428449273109436,1,adamson,200,gene_ontology - no_graph
HARS_pDS466,0.8392801284790039,0.8259343504905701,0.013345777988433838,1,adamson,200,gene_ontology - no_graph
HSPA9_pDS088,0.7975307703018188,0.7686892747879028,0.028841495513916016,1,adamson,200,gene_ontology - no_graph
HYOU1_pDS089,0.3309112787246704,0.31840258836746216,0.012508690357208252,1,adamson,200,gene_ontology - no_graph
IARS2_pDS090,0.8538042902946472,0.8217460513114929,0.0320582389831543,1,adamson,200,gene_ontology - no_graph
IDH3A_pDS393,0.22611093521118164,0.24124130606651306,-0.015130370855331421,1,adamson,200,gene_ontology - no_graph
IER3IP1_pDS002,0.5860670804977417,0.572749137878418,0.01331794261932373,1,adamson,200,gene_ontology - no_graph
IER3IP1_pDS110,0.5762841701507568,0.5478065609931946,0.028477609157562256,1,adamson,200,gene_ontology - no_graph
KCTD16_pDS096,0.3683196008205414,0.37602245807647705,-0.007702857255935669,1,adamson,200,gene_ontology - no_graph
MRGBP_pDS124,-0.013864383101463318,-0.024601470679044724,0.010737087577581406,1,adamson,200,gene_ontology - no_graph
MTHFD1_pDS395,0.1293759047985077,0.12539559602737427,0.003980308771133423,1,adamson,200,gene_ontology - no_graph
OST4_pDS353,0.4921919107437134,0.48144349455833435,0.010748416185379028,1,adamson,200,gene_ontology - no_graph
P4HB_pDS397,0.16321516036987305,0.18237148225307465,-0.0191563218832016,1,adamson,200,gene_ontology - no_graph
PDIA6_pDS029,0.048485271632671356,0.0348125696182251,0.013672702014446259,1,adamson,200,gene_ontology - no_graph
PSMD4_pDS488,-0.08198525011539459,-0.05451841652393341,-0.02746683359146118,1,adamson,200,gene_ontology - no_graph
QARS_pDS510,0.8697402477264404,0.8676892518997192,0.0020509958267211914,1,adamson,200,gene_ontology - no_graph
SAMM50_pDS156,0.8061294555664062,0.7673015594482422,0.03882789611816406,1,adamson,200,gene_ontology - no_graph
SEC61A1_pDS031,0.6378096342086792,0.6104085445404053,0.027401089668273926,1,adamson,200,gene_ontology - no_graph
SEC61A1_pDS032,0.5682750940322876,0.5466784238815308,0.021596670150756836,1,adamson,200,gene_ontology - no_graph
SEC61B_pDS033,0.4128168225288391,0.38263100385665894,0.030185818672180176,1,adamson,200,gene_ontology - no_graph
SEC61B_pDS162,0.366362065076828,0.3308960199356079,0.03546604514122009,1,adamson,200,gene_ontology - no_graph
SEL1L_pDS373,0.36465877294540405,0.350330650806427,0.01432812213897705,1,adamson,200,gene_ontology - no_graph
SLC39A7_pDS219,0.4432430863380432,0.43824630975723267,0.004996776580810547,1,adamson,200,gene_ontology - no_graph
SLMO2_pDS433,0.8447908759117126,0.8077477812767029,0.037043094635009766,1,adamson,200,gene_ontology - no_graph
SOCS1_pDS479,0.4059540033340454,0.38909614086151123,0.01685786247253418,1,adamson,200,gene_ontology - no_graph
SPCS2_pDS401,0.4956015944480896,0.5022997260093689,-0.006698131561279297,1,adamson,200,gene_ontology - no_graph
