dataset,hvg,graph,seed,condition,pearson_r,spearman_rho,mse,jaccard,source_file
adamson,200,combined,42,TTI2_pDS408,-0.1690654456615448,0.0678586964674117,0.017994113266468048,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,UFL1_pDS410,0.5592349767684937,0.479642991074777,0.009180870838463306,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,UFM1_pDS040,0.5518434047698975,0.488622215555389,0.008320935070514679,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,YIPF5_pDS186,0.5669047832489014,0.5716957923948099,0.020638378337025642,0.25,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,43,AMIGO3_pDS434,0.4212499260902405,0.3414761649577098,0.010777967050671577,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,ARHGAP22_pDS458,0.2784953713417053,0.37886147153678845,0.020136380568146706,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,ASCC3_pDS052,0.1942797601222992,0.3068005350635988,0.045487403869628906,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,ATP5B_pDS055,0.6765064001083374,0.5201389485258555,0.015352940186858177,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,CAD_pDS468,-0.09755583107471466,0.006367659191479788,0.08588667213916779,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,CARS_pDS460,0.8523686528205872,0.7922853071326784,0.21839943528175354,0.48148148148148145,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,CCND3_pDS006,-0.12185349315404892,0.08115802895072378,0.04078648239374161,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f30-40.json
adamson,200,combined,43,DAD1_pDS499,0.45484596490859985,0.5248136203405086,0.01094929501414299,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f0-10.json
adamson,200,combined,43,DARS_pDS495,0.7451581954956055,0.5745578639465988,0.017617592588067055,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
adamson,200,combined,43,DDRGK1_pDS041,0.5694647431373596,0.5462761569039227,0.008135058917105198,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s43f20-30.json
adamson,200,combined,43,DERL2_pDS042,0.5704540014266968,0.5510762769069227,0.011249086819589138,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s43f40-50.json
adamson,200,combined,43,DNAJC19_pDS026,0.9007124304771423,0.8440066001650043,0.11601658165454865,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s43f10-20.json
