dataset,hvg,graph,condition,pearson_r,pearson_seed_sd,n_seeds,spearman_rho,mse,jaccard
norman,200,string_ppi,FOXA3_FOXL2,0.4564935117959976,0.002061676315183148,2,0.5809390234755869,0.3786107748746872,0.42857142857142855
norman,200,string_ppi,HES7,0.9717655181884766,0.00030278295970226273,2,0.5694232355808896,0.6631143689155579,0.3793103448275862
norman,200,string_ppi,HOXB9,0.7459661364555359,0.003590321437249019,2,0.5832648316207907,0.013724695425480604,0.5692307692307692
norman,200,string_ppi,IGDCC3_MAPK1,0.5175768733024597,0.004077201831246867,2,0.4196842421060527,0.023492174223065376,0.2903225806451613
norman,200,string_ppi,IRF1_SET,0.3856210261583328,0.0017964040506555808,2,0.23690167254181357,0.12795306742191315,0.25
norman,200,string_ppi,ISL2,0.24972929060459137,0.0033015944515251395,2,0.31549913747843694,0.02505128737539053,0.3333333333333333
norman,200,string_ppi,KLF1_BAK1,0.1257309690117836,0.00017660583197277372,2,0.0076704417610440265,0.06365133076906204,0.21212121212121213
norman,200,string_ppi,KLF1_CLDN6,0.6990189552307129,0.0006048915698283512,2,0.5427548188704718,0.08382001891732216,0.2903225806451613
norman,200,string_ppi,KLF1_COL2A1,0.3507181853055954,0.0011272385368481163,2,0.511838295957399,0.07142318785190582,0.21212121212121213
norman,200,string_ppi,KLF1_TGFBR2,0.3150983154773712,0.0023818448498961545,2,0.27201905047626196,0.0583398062735796,0.21212121212121213
norman,200,string_ppi,LHX1,0.968290776014328,0.0002742495432603875,2,0.5050033750843772,0.8126661777496338,0.48148148148148145
norman,200,string_ppi,LHX1_ELMSAN1,0.27108633518218994,0.006624304474154237,2,0.45480162004050106,0.20632446557283401,0.3333333333333333
norman,200,string_ppi,LYL1_IER5L,0.83805251121521,0.010073096794103674,2,0.6822148053701343,0.030645624734461308,0.6666666666666666
norman,200,string_ppi,MAP2K3_IKZF3,0.5359917283058167,0.006755381173023117,2,0.5232453311332783,0.22145046293735504,0.3333333333333333
norman,200,string_ppi,MAP2K3_MAP2K6,-0.4940919131040573,0.0042684010095165375,2,-0.18391284782119555,0.046903759241104126,0.2903225806451613
norman,200,string_ppi,MAP2K6,-0.5253001749515533,0.01127971892012206,2,-0.1539450986274657,0.041772209107875824,0.3333333333333333
norman,200,string_ppi,MAP7D1,-0.007932997308671474,0.011766263456420836,2,0.22006000150003752,0.02677641250193119,0.05263157894736842
norman,200,string_ppi,MAPK1_IKZF3,0.7667653560638428,0.0014223718435456517,2,0.6603165079126978,0.08498464897274971,0.3333333333333333
norman,200,string_ppi,MAPK1_PRTG,0.5643171668052673,0.005385271421630974,2,0.44929123228080703,0.02434858586639166,0.23106060606060608
norman,200,string_ppi,OSR2,0.27741222083568573,0.0026305744763831956,2,0.44906397659941505,0.07734105363488197,0.05263157894736842
norman,200,string_ppi,PTPN1,0.764265239238739,0.01051892615765191,2,0.4148803720093003,0.03091424982994795,0.50997150997151
norman,200,string_ppi,PTPN12_SNAI1,0.6414821147918701,0.004089424417315026,2,0.49339101979716204,0.020457303151488304,0.48148148148148145
norman,200,string_ppi,SAMD1_PTPN12,0.7426369786262512,0.004843094362386833,2,0.5981701785683233,0.07127240300178528,0.42857142857142855
norman,200,string_ppi,SET,0.483990341424942,0.0007838892354541181,2,0.22696242406060152,0.0551220066845417,0.3333333333333333
norman,200,string_ppi,SET_KLF1,0.41187191009521484,0.0038877096003418874,2,0.23057601440036005,0.06765039265155792,0.2903225806451613
norman,200,string_ppi,SGK1_TBX3,0.4365236312150955,0.0004964266551855653,2,0.5989424735618392,0.2149069383740425,0.48148148148148145
norman,200,string_ppi,SLC4A1,0.16661294549703598,0.002482965676185917,2,0.18761194029850747,0.06379921734333038,0.25
norman,200,string_ppi,TGFBR2_PRTG,0.6901198923587799,0.00395147778213887,2,0.4436053401335034,0.03651921637356281,0.42857142857142855
norman,200,string_ppi,TP73,0.703737199306488,0.009172755816213955,2,0.6017242931073278,0.30797944962978363,0.50997150997151
norman,200,string_ppi,UBASH3A,0.7029314637184143,0.009393436715016997,2,0.4836576478128473,0.015056322328746319,0.42857142857142855
norman,200,string_ppi,UBASH3B,0.7114322483539581,0.012611896507854397,2,0.4304965124128104,0.012672078795731068,0.5384615384615384
norman,200,string_ppi,ZBTB25,0.5499492883682251,0.0005494263171880146,2,0.3409532738318458,0.020231112837791443,0.25
norman,500,combined,AHR_FEV,0.5607682466506958,0.000566949903309281,3,0.5696614283175877,0.1779247671365738,0.12169312169312169
norman,500,combined,ARID1A,0.6929444273312887,0.0018108200721471948,3,0.5281344578882862,0.04099225997924805,0.3486590038314176
norman,500,combined,BCL2L11,-0.009183872801562151,0.0008870548800374735,3,-0.025467448314668416,0.01876288962860902,0.05263157894736842
norman,500,combined,BCORL1,0.318618506193161,0.0015912962117232072,3,0.33188073545321745,0.018249782423178356,0.22474747474747478
norman,500,combined,C3orf72_FOXL2,0.6709282795588175,0.002134769130698572,3,0.4460214321992731,0.04546059047182401,0.26344086021505375
norman,500,combined,CBL_PTPN12,0.6013307770093282,0.002608797600073811,3,0.3457824480261293,0.041062019765377045,0.06211474632527264
norman,500,combined,CBL_TGFBR2,0.6116971770922343,0.0016710207738780897,3,0.37784190657224453,0.021937378371755283,0.08108108108108109
norman,500,combined,CDKN1A,0.8476560910542806,0.07539864377848714,3,0.4547501179144746,0.033359396581848465,0.20023767082590613
norman,500,combined,CDKN1B,0.7843618194262186,0.0031865768788319343,3,0.5566819468088888,0.010980101923147837,0.21212121212121213
norman,500,combined,CDKN1C,0.738226056098938,0.00014612297182999234,3,0.5442673231941249,0.019400947416822117,0.17647058823529413
norman,500,combined,CDKN1C_CDKN1A,0.5259834329287211,0.0009603970701880567,3,0.40942199951412617,0.09745149314403534,0.21212121212121213
norman,500,combined,CDKN1C_CDKN1B,0.7620457410812378,0.0009874090899527322,3,0.4277357269429078,0.028592799479762714,0.17647058823529413
norman,500,combined,CEBPB_PTPN12,0.5611777901649475,0.0009120774902181209,3,0.5722035985472806,0.06218797837694486,0.26344086021505375
norman,500,combined,CSRNP1,-0.4405975639820099,0.0007032385244727193,3,-0.19249622598490393,0.032211367040872574,0.05263157894736842
norman,500,combined,DUSP9_PRTG,0.6098139484723409,0.0010377622207958358,3,0.42689313157252623,0.08314064393440883,0.14285714285714285
norman,500,combined,FOSB,0.42872103055318195,0.003588521231655677,3,0.4773657403765175,0.029733294621109962,0.0
norman,500,combined,FOXA3,0.7193128863970438,0.000899084559067324,3,0.5244587275959401,0.012724348343908787,0.6666666666666666
